
Type 1, nbuf 15, bufsize 100
2247201	2557042	10217
2256497	2556068	10215
2291369	2556708	10207
2256756	2556573	10207
2256686	2556656	10204
2319803	2556623	10204
2318937	2556595	10202
2247085	2556718	10205
2203237	2556556	10201
2268402	2556733	10203

Type 2, nbuf 15, bufsize 100
2254864	2555942	10197
2265605	2556758	10201
2254695	2556534	10198
2228500	2556676	10193
2261164	2556614	10189
2255978	2556553	10199
2261937	2556548	10199
2289913	2556616	10197
2258117	2556719	10196
2254672	2556760	10201

Type 3, nbuf 15, bufsize 100
2207814	2556078	10198
2257232	2556682	10201
2205773	2556673	10186
2218851	2556696	10193
2238698	2556575	10198
2263244	2556642	10198
2229572	2556840	10188
2224855	2556782	10190
2210248	2556661	10199
2218887	2556575	10198

Type 1, nbuf 30, bufsize 50
2292280	2556064	10226
2258487	2556637	10226
2256707	2556680	10224
2205888	2556763	10223
2256215	2556768	10224
2294913	2556701	10222
2268931	2556821	10225
2312440	2556717	10223
2258646	2556565	10221
2285898	2556616	10221

Type 2, nbuf 30, bufsize 50
2282748	2556066	10200
2286085	2556737	10205
2230176	2556468	10198
2298631	2556510	10177
2299064	2556517	10194
2284898	2556700	10199
2305052	2556565	10190
2199487	2556718	10199
2264254	2556739	10195
2280482	2556759	10185

Type 3, nbuf 30, bufsize 50
2254890	2556797	10190
2215136	2556524	10210
2299282	2556740	10200
2270466	2556510	10191
2256402	2556600	10187
2258300	2556031	10195
2202966	2556596	10204
2243962	2556748	10195
2253369	2556762	10193
2208497	2556670	10186

Type 1, nbuf 60, bufsize 25
2261373	2556478	10217
2251690	2556636	10213
2244718	2556642	10211
2302083	2556587	10216
2279014	2556700	10218
2218733	2556813	10218
2289065	2556726	10217
2290957	2556768	10214
2262659	2556788	10219
2274401	2556902	10217

Type 2, nbuf 60, bufsize 25
2261061	2556078	10176
2249890	2556558	10199
2271803	2556710	10198
2299178	2556537	10182
2263781	2556579	10197
2206536	2556559	10188
2286596	2556520	10191
2257349	2556681	10184
2200715	2556729	10192
2276198	2556545	10197

Type 3, nbuf 60, bufsize 25
2281954	2556091	10187
2213481	2556747	10195
2253642	2556667	10193
2253779	2556520	10192
2209521	2556729	10187
2227762	2556621	10195
2291032	2556737	10197
2268358	2556589	10186
2260733	2556640	10194
2237008	2556499	10196
