
Test 2: data-sending time = 2257349 usec, round-trip time = 2556681 usec, # reads = 10184
Test 2: data-sending time = 2200715 usec, round-trip time = 2556729 usec, # reads = 10192
Test 2: data-sending time = 2276198 usec, round-trip time = 2556545 usec, # reads = 10197

Test 3: data-sending time = 2281954 usec, round-trip time = 2556091 usec, # reads = 10187
Test 3: data-sending time = 2213481 usec, round-trip time = 2556747 usec, # reads = 10195
Test 3: data-sending time = 2253642 usec, round-trip time = 2556667 usec, # reads = 10193
Test 3: data-sending time = 2253779 usec, round-trip time = 2556520 usec, # reads = 10192
Test 3: data-sending time = 2209521 usec, round-trip time = 2556729 usec, # reads = 10187
Test 3: data-sending time = 2227762 usec, round-trip time = 2556621 usec, # reads = 10195
Test 3: data-sending time = 2291032 usec, round-trip time = 2556737 usec, # reads = 10197
Test 3: data-sending time = 2268358 usec, round-trip time = 2556589 usec, # reads = 10186
Test 3: data-sending time = 2260733 usec, round-trip time = 2556640 usec, # reads = 10194
Test 3: data-sending time = 2237008 usec, round-trip time = 2556499 usec, # reads = 10196
